system:index,.geo,VV,VH,NDVI,soil_moisture
0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31874260208562,24.0299338501972]}",-11.146919897668802,-18.451163195825725,0.18744487,0.078803825
1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40857413049757,24.0299338501972]}",-9.769244056238431,-16.694207123369935,0.20841514,0.07643227999999999
2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49840565890952,24.0299338501972]}",-8.118725622187007,-15.051166106275836,0.24143957,0.07643227999999999
3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58823718732147,24.0299338501972]}",-8.211660266311538,-15.328707694923764,0.3162558,0.07489472400000001
4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.76790024414538,24.0299338501972]}",-8.592137557342745,-14.964767106110768,0.3043478,0.06731132
5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.85773177255733,24.0299338501972]}",-8.403655081328377,-14.798190277092198,0.2694866,0.05900841
6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.03739482938123,24.0299338501972]}",-9.256058294143,-16.97933170121169,0.24470371,0.060516047
7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.12722635779319,24.0299338501972]}",-10.66888538129412,-17.892516641149903,0.18577136,0.06880156
8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.48655247144099,24.0299338501972]}",-8.667494137206353,-16.862951256152822,0.203402,0.06793083700000001
9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.57638399985295,24.0299338501972]}",-7.849225160928559,-14.65250564946265,0.28056726,0.073708563
10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6662155282649,24.0299338501972]}",-9.612742690988474,-16.624226734335398,0.18889722,0.07123961399999999
11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75604705667685,24.0299338501972]}",-8.648284000303864,-15.589343879615717,0.29437128,0.07123961399999999
12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.93571011350076,24.0299338501972]}",-9.408008444794651,-17.189904642597376,0.2804138,0.08073862999999999
13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.02554164191271,24.0299338501972]}",-8.13932170113947,-15.040543405503284,0.32886595,0.08899943
14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.11537317032466,24.0299338501972]}",-7.545382357252404,-14.659183406576028,0.35489798,0.09197438
15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.20520469873661,24.0299338501972]}",-8.924208704249564,-16.179927056304543,0.27313933,0.09197438
16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.47469928397247,24.0299338501972]}",-8.361111316336023,-15.189482089213094,0.393704,0.08721438
17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.74419386920833,24.0299338501972]}",-9.27564998336464,-16.37186430377727,0.29326686,0.08757344
18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.83402539762028,24.0299338501972]}",-10.506191935338114,-17.80048643726122,0.17417005,0.07866113699999999
19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368845444418,24.0299338501972]}",-10.167289333958172,-17.263248162444995,0.24167043,0.07692713300000001
20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.10351998285613,24.0299338501972]}",-8.524131898159599,-15.473883414980415,0.2999342,0.08747692000000001
21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.19335151126809,24.0299338501972]}",-8.532466701558148,-15.536042706192,0.3137893,0.08747692000000001
22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.28318303968004,24.0299338501972]}",-9.83721234972402,-16.611556332438514,0.29084164,0.08088129999999999
23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.37301456809199,24.0299338501972]}",-10.370115130025392,-17.579457224752844,0.21202025,0.0801327
24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.46284609650394,24.0299338501972]}",-10.81904795682978,-18.2823583794256,0.21492453,0.0801327
25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7323406817398,24.0299338501972]}",-10.770653888425878,-18.012703474160457,0.20918839,0.08822469999999999
26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82217221015175,24.0299338501972]}",-10.573736466055,-17.463326514577002,0.29361147,0.0886166
27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.00183526697566,24.0299338501972]}",-10.383015415410725,-17.41738687110185,0.26899788,0.10569714
28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.09166679538761,24.0299338501972]}",-8.982306943367345,-16.301958066713947,0.2850531,0.10007996999999999
