system:index,.geo,VV,VH,NDVI,soil_moisture
0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.97788518903586,15.374666087705611]}",-8.929709598980887,-16.392283792405642,0.30951023,0.23188008
1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.98686834187706,15.374666087705611]}",-8.961823005033567,-16.084061825883285,0.31249225,0.23188008
2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99585149471825,15.374666087705611]}",-8.489006609400137,-16.23445320938619,0.30813456,0.23188008
3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00483464755945,15.374666087705611]}",-9.572765604612114,-16.74919403032396,0.30927253,0.23188008
4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01381780040064,15.374666087705611]}",-9.19361045481162,-16.372200486753307,0.32831573,0.23188008
5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.02280095324184,15.374666087705611]}",-9.485629555107488,-16.319806687615845,0.31198016,0.23188008
6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03178410608304,15.374666087705611]}",-9.048206811034737,-15.951141179331463,0.29359934,0.23188008
7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95991888335348,15.383649240546806]}",-9.064503719410306,-16.393208431719913,0.32147396,0.23995459
8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.96890203619466,15.383649240546806]}",-8.893373357119506,-16.13405158297,0.31533706,0.23188008
9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.97788518903586,15.383649240546806]}",-8.072784434690332,-16.03983092971899,0.29092282,0.23188008
10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.98686834187706,15.383649240546806]}",-9.10014686490453,-16.17744283829099,0.45074308,0.23188008
11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99585149471825,15.383649240546806]}",-9.1294157125257,-15.982010943249383,0.35444906,0.23188008
12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00483464755945,15.383649240546806]}",-8.713761344688171,-15.390251272110255,0.3519897,0.23188008
13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01381780040064,15.383649240546806]}",-9.549535126536847,-16.284408152018752,0.27827024,0.23188008
14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.02280095324184,15.383649240546806]}",-9.45606744141072,-16.169091196302936,0.3176361,0.23188008
15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03178410608304,15.383649240546806]}",-9.142224725689752,-15.957308604719628,0.32479215,0.23188008
16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04076725892423,15.383649240546806]}",-11.137618104641348,-18.20368037685016,0.26130465,0.23090084
17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04975041176543,15.383649240546806]}",-9.127104558404374,-17.219180808098535,0.17625856,0.23090084
18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95093573051228,15.392632393388002]}",-8.489447165867437,-15.464619796866357,0.40595347,0.23995459
19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95991888335348,15.392632393388002]}",-9.407926678161065,-16.366964596017855,0.32981053,0.23995459
20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.96890203619466,15.392632393388002]}",-8.806544231351626,-15.777522156516714,0.31763777,0.23188008
21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.97788518903586,15.392632393388002]}",-8.877894217816849,-16.292110322154166,0.32414317,0.23188008
22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.98686834187706,15.392632393388002]}",-9.189371491484646,-16.652829223602414,0.3412122,0.23188008
23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99585149471825,15.392632393388002]}",-9.536715044522008,-16.235420695087132,0.32258064,0.23188008
24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00483464755945,15.392632393388002]}",-8.461982965522132,-15.84705168828236,0.34496567,0.23188008
25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01381780040064,15.392632393388002]}",-9.255627932785954,-16.49665556564367,0.30773324,0.23188008
26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.02280095324184,15.392632393388002]}",-10.16399756657528,-17.6940936403029,0.18065706,0.23188008
27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03178410608304,15.392632393388002]}",-10.007853033528498,-17.234174181079965,0.26788256,0.23188008
