system:index,.geo,VV,VH,NDVI,soil_moisture
20200126_0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4335289982687,10.7034266102841]}",-9.314484365856035,-14.525704831361978,0.6160425,0.23275003
20200126_1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44251215110988,10.7034266102841]}",-9.37666681444007,-14.54754261289569,0.5431274,0.23954068
20200126_2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45149530395108,10.7034266102841]}",-9.31069233245086,-14.458325976212937,0.5724897,0.23954068
20200126_3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46047845679227,10.7034266102841]}",-9.228480226315202,-14.260935033036674,0.4505331,0.23954068
20200126_4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46946160963347,10.7034266102841]}",-8.491947754215222,-13.81712423695162,0.42753273,0.23954068
20200126_5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.40657953974511,10.712409763125294]}",-8.800137074113698,-14.578905229950308,0.5287742,0.23275003
20200126_6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4155626925863,10.712409763125294]}",-8.333665845924859,-14.385015566808638,0.5303381,0.23275003
20200126_7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4245458454275,10.712409763125294]}",-8.47022837313102,-14.402581820427136,0.33170903,0.23275003
20200126_8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44251215110988,10.712409763125294]}",-8.681198392444287,-14.366674965502604,0.4061115,0.23954068
20200126_9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45149530395108,10.712409763125294]}",-8.969103976792175,-13.722913329471073,0.42192227,0.23954068
20200126_10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46047845679227,10.712409763125294]}",-9.17601141359391,-13.996244124814416,0.43370235,0.23954068
20200126_11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46946160963347,10.712409763125294]}",-8.576443997176552,-14.351717482653257,0.34666666,0.23954068
20200126_12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.47844476247467,10.712409763125294]}",-9.12725121237746,-13.582736031423735,0.26358825,0.23954068
20200126_13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48742791531586,10.712409763125294]}",-8.944335377056994,-13.60569690240956,0.49083704,0.23954068
20200126_14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.40657953974511,10.72139291596649]}",-8.934459962318249,-14.803920434958846,0.5516129,0.23275003
