system:index,.geo,VV,VH,NDVI,soil_moisture
0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32373657342187,8.039921792869718]}",-22.954111913656487,-27.370681910915216,-0.01591043,0.0
1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.41356810183383,8.039921792869718]}",-21.81199853396925,-28.7475630189738,-0.020104645,0.0
2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50339963024578,8.039921792869718]}",-22.31774516323088,-30.7511048422486,-0.02660625,0.0
3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.59323115865773,8.039921792869718]}",-22.14178147154835,-31.93946011554897,-0.0031236622,0.0
4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,8.039921792869718]}",-22.315170789475427,-32.65275664182164,-0.0087318085,0.0
5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,8.039921792869718]}",-22.139485803218545,-32.06739030470554,-0.019854957,0.0
6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,8.039921792869718]}",-21.74999023473653,-30.84462396215339,-0.018987283,0.0
7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,8.039921792869718]}",-20.91087891548246,-28.64178096644192,-0.029071087,0.0
8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,8.039921792869718]}",-20.643537777605143,-28.287024321055743,-0.020778004,0.0
9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,8.039921792869718]}",-20.68059379812871,-29.016868494703317,-0.0023114886,0.0
10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,8.039921792869718]}",-20.390975128884907,-29.36643287894856,-0.01910429,0.0
11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,8.039921792869718]}",-20.044654019388645,-29.35415040277565,-0.017753338,0.0
12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,8.039921792869718]}",-19.20256779682852,-29.17858427187491,-0.018459579,0.0
13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,8.039921792869718]}",-18.701593104992035,-28.88428501673795,-0.0010917031,0.0
14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,8.039921792869718]}",-19.02898784240833,-28.25407200085655,0.00085397094,0.0
15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,8.039921792869718]}",-19.22162952407015,-27.000781402496298,-0.0041084634,0.0
16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,8.039921792869718]}",-19.026845147622694,-27.07457614441964,-0.010059954,0.0
17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,8.039921792869718]}",-18.733788653599024,-27.63535402921591,-0.013673656,0.0
18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,8.039921792869718]}",-16.980466934160614,-27.125614939248774,-0.003787879,0.0
19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,8.039921792869718]}",-18.02846335600449,-26.888929702256856,-0.01874468,0.254
20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.41356810183383,8.129753321281669]}",-22.385716104302222,-28.6666634046174,-0.011832697,0.0
21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50339963024578,8.129753321281669]}",-22.490481486630596,-30.49089794179447,-0.008375583,0.0
