system:index,.geo,VV,VH,NDVI,soil_moisture
20200207_0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82230155610821,30.816705821720188]}",-14.421431001708529,-20.089255799560878,0.586268,0.22983918
20200207_1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84026786179061,30.816705821720188]}",-13.41316878999869,-18.760430962822245,0.64234555,0.23382966
20200207_2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8492510146318,30.816705821720188]}",-14.115381530825449,-19.828560282089683,0.6441771,0.23382966
20200207_3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.858234167473,30.816705821720188]}",-14.86001454721796,-20.436294311684552,0.5502283,0.23382966
20200207_4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80433525042582,30.82568897456138]}",-13.605389997181112,-19.308796935731827,0.6110392,0.22983918
20200207_5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,30.82568897456138]}",-10.842647287981327,-17.594639491498974,0.60240966,0.22983918
20200207_6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83128470894941,30.82568897456138]}",-14.384315777645734,-20.391947835078103,0.5736922,0.22983918
20200207_7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8492510146318,30.82568897456138]}",-14.3683728765504,-20.142361722651252,0.647011,0.23382966
20200207_8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79535209758463,30.834672127402577]}",-12.647028553454737,-19.539862670435504,0.60043335,0.22983918
20200207_9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80433525042582,30.834672127402577]}",-12.733524414851953,-19.607894914273132,0.6543617,0.22983918
20200207_10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,30.834672127402577]}",-14.032086601924632,-19.95962704774835,0.65782547,0.22983918
20200207_11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83128470894941,30.834672127402577]}",-9.41898692105058,-15.915478464667656,0.37506363,0.22983918
20200207_12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84026786179061,30.834672127402577]}",-11.588154220096698,-17.51849998348274,0.5229441,0.23382966
20200207_13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8492510146318,30.834672127402577]}",-13.65588281301161,-19.46332528177492,0.5986856,0.23382966
20200207_14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.858234167473,30.834672127402577]}",-16.693659235740586,-24.21442172930112,0.53677326,0.23382966
20200207_15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77738579190223,30.843655280243773]}",-9.200860272475564,-15.064879602971711,0.32923242,0.22983918
20200207_16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78636894474343,30.843655280243773]}",-10.73926243389767,-17.55038542377438,0.4278557,0.22983918
20200207_17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79535209758463,30.843655280243773]}",-11.823618312514787,-18.98297620027081,0.42821348,0.22983918
20200207_18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,30.843655280243773]}",-13.52014726134012,-19.4269359072195,0.3345106,0.22983918
20200207_19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82230155610821,30.843655280243773]}",-14.16344447395515,-20.085599338882613,0.5565255,0.22983918
20200207_20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83128470894941,30.843655280243773]}",-13.021112967795748,-19.29717367658788,0.38635805,0.22983918
20200207_21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84026786179061,30.843655280243773]}",-11.535253906896369,-17.74226758049345,0.30430248,0.23382966
20200207_22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79535209758463,30.852638433084966]}",-10.456246482710617,-16.404674935556333,0.2774986,0.22983918
20200207_23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,30.852638433084966]}",-10.684042330700208,-16.81111283373661,0.28345802,0.22983918
20200207_24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83128470894941,30.852638433084966]}",-9.75502393308291,-16.125144131916738,0.16811189,0.22983918
20200207_25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84026786179061,30.852638433084966]}",-7.703990577543273,-15.47573399097294,0.1769961,0.23382966
20200207_26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8492510146318,30.852638433084966]}",-11.121923521661046,-17.69226982776972,0.2794872,0.23382966
20200207_27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.76840263906104,30.861621585926162]}",-11.553736161331596,-18.489973704953652,0.40375587,0.22983918
20200207_28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77738579190223,30.861621585926162]}",-10.99267136828914,-17.82107565778817,0.59683794,0.22983918
20200207_29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78636894474343,30.861621585926162]}",-12.104875824066138,-17.833968284538358,0.58608466,0.22983918
20200207_30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79535209758463,30.861621585926162]}",-9.15122940534036,-17.74140812622234,0.48026627,0.22983918
20200207_31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80433525042582,30.861621585926162]}",-8.579067626797166,-15.549765154202328,0.20160137,0.22983918
20200207_32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,30.861621585926162]}",-6.459125296803835,-15.18417542332718,0.14319667,0.22983918
20200207_33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82230155610821,30.861621585926162]}",-8.30427339634953,-16.033179215035076,0.2162975,0.22983918
20200207_34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83128470894941,30.861621585926162]}",-9.43305579668938,-15.772683391187092,0.0909635,0.22983918
20200207_35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84026786179061,30.861621585926162]}",-8.574785748062862,-14.21988576269516,0.058894593,0.23382966
20200207_36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8492510146318,30.861621585926162]}",-9.586942498005628,-16.521211198308073,0.04211497,0.23382966
20200207_37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.75941948621985,30.87060473876736]}",-11.02514301550042,-17.8583277985475,0.35388002,0.22983918
20200207_38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.76840263906104,30.87060473876736]}",-11.435517805708288,-18.281716128736,0.33170202,0.22983918
20200207_39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77738579190223,30.87060473876736]}",-9.592743340122794,-16.298282421546794,0.30225167,0.22983918
20200207_40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78636894474343,30.87060473876736]}",-10.162352734519766,-16.298845743958275,0.39970207,0.22983918
20200207_41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79535209758463,30.87060473876736]}",-7.9268389798977505,-16.8737099024894,0.29181024,0.22983918
20200207_42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80433525042582,30.87060473876736]}",-9.279841933803874,-15.459481954380813,0.15861675,0.22983918
20200207_43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,30.87060473876736]}",-7.947582283072992,-15.311888467904156,0.124697335,0.22983918
20200207_44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82230155610821,30.87060473876736]}",-8.877765033670265,-14.952642729320171,0.08595901,0.22983918
20200207_45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84026786179061,30.87060473876736]}",-7.378223943393241,-12.902954641215093,0.019439869,0.23382966
20200207_46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.75941948621985,30.87958789160855]}",-13.147092855102237,-19.532450979571085,0.3812718,0.22983918
20200207_47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77738579190223,30.87958789160855]}",-4.742673149827402,-14.891084725306548,0.09540847,0.22983918
20200207_48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78636894474343,30.87958789160855]}",-5.814916793769541,-12.621902750359553,0.06355932,0.22983918
