system:index,.geo,VV,VH,NDVI,soil_moisture
0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.0236763971167,24.0299338501972]}",-15.850536357719337,-24.68185679168395,-0.29993597,0.062328715
1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.47283403917646,24.0299338501972]}",-16.231158997498273,-26.96270861583261,0.019914206,0.0762143
2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.65249709600036,24.0299338501972]}",-15.75486243991505,-27.835500548103337,0.029067608,0.08193395
3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.10165473806012,24.0299338501972]}",-18.919957908104408,-27.52828322763586,0.03709487,0.0
4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.28131779488403,24.0299338501972]}",-15.218666115931798,-26.15974010301513,0.03166779,0.079319406
5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.0898015505916,24.0299338501972]}",-8.802051592492937,-16.693825344054936,0.25785545,0.058429919999999996
6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.35929613582745,24.0299338501972]}",-7.541689483941743,-16.999123251296716,0.26427203,0.06081109
7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53895919265136,24.0299338501972]}",-10.50720901511862,-17.454004752144836,0.24884488,0.056911526
8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89828530629917,24.0299338501972]}",-20.45953719904264,-27.67991333618235,-0.022315258,0.062756977
9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07794836312307,24.0299338501972]}",-9.260303699734235,-15.947843904371933,0.25777012,0.068175154
10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.61693753359478,24.0299338501972]}",-11.703655225890056,-19.18314936273019,0.09713533,0.076726303
11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79660059041869,24.0299338501972]}",-7.607799806369615,-14.638144057451008,0.17820056,0.07453511
12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.97626364724259,24.0299338501972]}",-11.324872512393476,-18.28271742298445,0.20545447,0.072041564
13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.60508434612626,24.0299338501972]}",-9.796015237067058,-16.946838222626287,0.19529419,0.05999416
14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87457893136211,24.0299338501972]}",-10.66981820247394,-18.14220925699637,0.14846423,0.07543034
15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.96441045977407,24.0299338501972]}",-10.099864236594971,-17.366558344871336,0.25578898,0.076146526
16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.05424198818602,24.0299338501972]}",-10.31138548128379,-17.721255812524067,0.26994687,0.076146526
