system:index,Elevation,LST,NDVI,NDWI,Rainfall,VH,VV,VV_VH_ratio,VV_minus_VH,soil_moisture,.geo
0,742,32.6094117647059,0.19747281,-0.20147945,0.19715288,-18.28201296636771,-9.485889920397131,0.5188646314739923,8.796123045970578,4.2362123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.50177808845253,15.796874271241787]}"
1,746,33.80030303030304,0.17539158,-0.2163805,0.19715288,-18.393838895459275,-9.583166475649652,0.5209987175659869,8.810672419809624,4.2362123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.5287275469761,15.796874271241787]}"
2,748,33.47000000000003,0.16296864,-0.16005936,0.19715288,-17.744772591989005,-9.445935092703737,0.5323221271918789,8.298837499285268,4.2362123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.5377106998173,15.796874271241787]}"
3,821,33.63303030303035,0.22516157,-0.2482592,0.19715288,-17.750123012371493,-9.213789637128995,0.5190831427313017,8.536333375242497,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.56466015834089,15.796874271241787]}"
4,791,33.823125000000005,0.2444088,-0.2517702,0.19715288,-17.864756353457413,-10.100753625170379,0.5654011409573775,7.764002728287034,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.58262646402328,15.796874271241787]}"
5,769,33.67750000000001,0.21088213,-0.22613929,0.20156804,-16.81855963337837,-9.01202478788117,0.5358380850876058,7.8065348454972,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.60059276970567,15.796874271241787]}"
6,782,33.934375000000045,0.1888422,-0.21904947,0.20156804,-18.360498229456443,-10.69876138319804,0.5827053955449647,7.661736846258403,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.60957592254687,15.796874271241787]}"
7,789,34.354375000000005,0.1927876,-0.21846282,0.20156804,-16.587339532716914,-8.875517910441763,0.5350778461449871,7.711821622275151,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.61855907538806,15.796874271241787]}"
8,768,34.78515151515154,0.14370148,-0.19850235,0.20156804,-15.999859822451084,-7.925989910962688,0.49537870949599816,8.073869911488396,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.63652538107044,15.796874271241787]}"
9,747,34.655454545454575,0.2072484,-0.24071592,0.20156804,-16.55853219975577,-8.792109271616816,0.5309715357347009,7.7664229281389545,3.318085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.64550853391164,15.796874271241787]}"
10,739,34.51941176470592,0.16999376,-0.23384099,0.20156804,-17.104200281922964,-9.509117529260635,0.555952185575762,7.595082752662329,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.66347483959403,15.796874271241787]}"
11,754,34.549411764705894,0.19420631,-0.23670302,0.20156804,-17.60393168166155,-9.209567207227229,0.5231539961508179,8.39436447443432,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.68144114527642,15.796874271241787]}"
12,742,34.49411764705883,0.20560877,-0.19405995,0.20156804,-17.12357783057782,-9.197014106964033,0.53709652258191,7.926563723613786,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69042429811762,15.796874271241787]}"
13,702,34.1694117647059,0.2171607,-0.2541614,0.18845132,-16.116353043858602,-8.415130165705639,0.5221485371290225,7.701222878152963,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70839060380001,15.796874271241787]}"
14,673,33.78764705882355,0.21916643,-0.23151048,0.18845132,-14.141036761182722,-5.5467647550016315,0.3922459752192677,8.59427200618109,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71737375664121,15.796874271241787]}"
15,666,33.52257142857144,0.19722082,-0.2325256,0.18845132,-16.91931368484368,-8.599958850315584,0.5082924172048082,8.319354834528095,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7263569094824,15.796874271241787]}"
16,670,33.51222222222225,0.19946621,-0.22328843,0.18845132,-15.68955598578451,-7.407261532333691,0.47211415919258803,8.28229445345082,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78025582652957,15.796874271241787]}"
17,664,33.622972972973,0.16232145,-0.1933441,0.18845132,-17.310122874055214,-9.310332111287032,0.5378547673535905,7.999790762768182,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.78923897937077,15.796874271241787]}"
18,667,33.93270270270273,0.18514751,-0.17423375,0.18845132,-17.53029464299002,-9.935452598552843,0.5667590192230917,7.594842044437179,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.79822213221196,15.796874271241787]}"
19,680,34.13432432432438,0.19896044,-0.2280794,0.1811384,-18.34650803561651,-10.24697776498968,0.5585246928242138,8.099530270626829,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80720528505316,15.796874271241787]}"
20,685,34.6827777777778,0.19016716,-0.20119087,0.1811384,-17.675283455825763,-10.065393667338293,0.5694615134458139,7.60988978848747,5.3590937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.81618843789435,15.796874271241787]}"
21,680,34.547058823529426,0.198652,-0.22775994,0.1811384,-16.836601294290187,-9.513339209221604,0.5650391693035977,7.323262085068583,5.2124867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.84313789641794,15.796874271241787]}"
22,687,33.41114285714286,0.26291415,-0.283815,0.1811384,-16.48109905171081,-9.237705029416137,0.5605029737660137,7.243394022294673,5.2124867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.86110420210032,15.796874271241787]}"
23,663,32.79342857142859,0.21571551,-0.24418877,0.1811384,-16.346245055502408,-9.493703160458168,0.58078801144991,6.85254189504424,5.2124867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87008735494152,15.796874271241787]}"
24,660,32.8994444444445,0.20468535,-0.1792097,0.1811384,-17.6861292187274,-10.13594740619759,0.5731015125381357,7.550181812529813,5.2124867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.88805366062391,15.796874271241787]}"
25,668,33.642222222222244,0.20210929,-0.15499121,0.1811384,-18.246974974489547,-10.221684575484124,0.5601851588975544,8.025290399005423,5.2124867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.8970368134651,15.796874271241787]}"
26,661,32.57432432432438,0.26319337,-0.27435708,0.17545405,-17.308313643994445,-9.170326397536481,0.5298220604361625,8.137987246457964,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.93296942482989,15.796874271241787]}"
27,646,31.21540540540542,0.22890683,-0.2252362,0.17545405,-18.47770432084739,-10.908335998387278,0.5903512584125504,7.569368322460113,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.94195257767109,15.796874271241787]}"
28,637,28.144444444444503,0.21512412,-0.18730304,0.17545405,-21.718562018537252,-14.700838428892645,0.6768789948591057,7.017723589644607,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95991888335348,15.796874271241787]}"
29,629,27.95941176470592,-0.06012024,0.14246534,0.17545405,-26.772872881217076,-20.190110257654492,0.7541256535012788,6.582762623562584,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.96890203619466,15.796874271241787]}"
30,626,27.04000000000002,-0.09112577,0.1673393,0.17545405,-27.5797792856396,-20.86124073750034,0.7563962177305201,6.718538548139261,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.97788518903586,15.796874271241787]}"
31,626,26.710000000000036,-0.058232933,0.106879316,0.17545405,-27.76256363402811,-21.03178813267952,0.757559294952906,6.730775501348589,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.98686834187706,15.796874271241787]}"
32,642,27.798000000000002,0.1575851,-0.15544018,0.17545405,-18.347011071342607,-11.598297385730065,0.632162772488114,6.748713685612541,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99585149471825,15.796874271241787]}"
33,641,29.106666666666683,0.23437585,-0.25987208,0.17422886,-17.488608061386355,-10.930765782429507,0.6250220568762066,6.557842278956848,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00483464755945,15.796874271241787]}"
34,627,29.30666666666673,0.1576146,-0.14373049,0.17422886,-22.90876277949986,-15.369547403294359,0.6709025516230827,7.539215376205501,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01381780040064,15.796874271241787]}"
35,623,27.947647058823577,-0.063624844,0.13390581,0.17422886,-28.102092214166348,-20.89960289000975,0.7437027368187981,7.202489324156598,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.02280095324184,15.796874271241787]}"
36,623,25.13055555555559,-0.055094223,0.13123055,0.17422886,-28.7542150261683,-20.966385321121756,0.7291586747209379,7.787829705046544,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04975041176543,15.796874271241787]}"
37,622,25.01857142857142,-0.03417732,0.10621648,0.17422886,-28.7640489968374,-20.70471915058794,0.7198124002940066,8.059329846249458,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.05873356460663,15.796874271241787]}"
38,623,25.467222222222233,-0.0013167345,0.07729862,0.17422886,-22.04404025871976,-14.71095632912194,0.6673439240931734,7.333083929597821,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.06771671744782,15.796874271241787]}"
39,621,26.69228571428573,-0.033145305,0.097106606,0.17422886,-28.32928696378605,-20.204192164020757,0.7131909881758839,8.125094799765293,5.5058837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.0856830231302,15.796874271241787]}"
