system:index,Elevation,LST,NDVI,NDWI,Rainfall,VH,VV,VV_VH_ratio,VV_minus_VH,soil_moisture,.geo
0,106,36.807714285714326,0.21928464,-0.23110458,0.14875917,-18.045961262857784,-10.40982816232974,0.5768508538115539,7.636133100528044,6.876089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.02030396757371,11.493944060309278]}"
1,87,36.30257142857147,0.24485536,-0.24727327,0.14875917,-16.52641686160678,-9.82121695512678,0.5942738245906688,6.705199906480001,6.9628677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0562365789385,11.493944060309278]}"
2,71,35.121176470588296,0.25202334,-0.25510618,0.1460816,-16.39313488403265,-9.94258941128128,0.6065093395263663,6.450545472751372,6.9628677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.11013549598566,11.493944060309278]}"
3,73,34.59171428571432,0.25611794,-0.2737529,0.1460816,-15.905396304056291,-8.74858604377108,0.5500388595498222,7.15681026028521,6.9628677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.11911864882686,11.493944060309278]}"
4,55,35.85529411764708,0.2547814,-0.23551606,0.1460816,-16.02893842070816,-9.23950617744629,0.5764265814078838,6.789432243261873,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18200071871523,11.493944060309278]}"
5,23,33.84696969696972,0.20957904,-0.21635744,0.16571942,-17.352356845424485,-9.961075088603007,0.5740473860315736,7.391281756821478,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44251215110988,11.493944060309278]}"
6,19,33.65055555555557,0.24190557,-0.2532135,0.16571942,-16.171010341818263,-9.097817770248932,0.5626004546371453,7.073192571569331,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.47844476247467,11.493944060309278]}"
7,18,33.655555555555566,0.27111804,-0.2909772,0.16571942,-16.125277830603732,-9.582078997936781,0.5942272188173534,6.543198832666951,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48742791531586,11.493944060309278]}"
8,11,31.434571428571473,0.26862037,-0.2765357,0.16470243,-16.94583280405011,-9.69741196706418,0.5722593913912846,7.248420836985929,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.57725944372781,11.493944060309278]}"
9,10,32.94055555555559,0.23717651,-0.25131214,0.15584917,-16.53903461336166,-9.938167995234814,0.6008916619115062,6.600866618126847,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6221752079338,11.493944060309278]}"
10,8,33.03400000000005,0.271389,-0.27167457,0.15584917,-15.176597102527307,-8.337792562814867,0.5493848526443654,6.83880453971244,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.64912466645738,11.493944060309278]}"
11,5,34.10777777777781,0.22319596,-0.22469854,0.16379423,-17.242973424706058,-9.434622543011772,0.547157518058554,7.808350881694286,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72098988918694,11.493944060309278]}"
12,8,33.76555555555558,0.25431076,-0.24480855,0.16379423,-14.43822380211282,-4.275645117996212,0.29613373338696514,10.162578684116607,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75692250055172,11.493944060309278]}"
13,5,32.797222222222274,0.14246982,-0.13948938,0.16379423,-15.97355418897579,-7.32723957374694,0.4587106593223857,8.64631461522885,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76590565339292,11.493944060309278]}"
14,66,36.028333333333364,0.18204917,-0.18540576,0.1460816,-17.3428394349051,-10.06305400038351,0.5802425858899486,7.279785434521589,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14606810735044,11.484960907468082]}"
15,59,35.3754545454546,0.296205,-0.2625581,0.1460816,-15.88281242548506,-9.474938373865994,0.5965529353392606,6.407874051619066,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.16403441303284,11.484960907468082]}"
16,55,35.35470588235296,0.23625721,-0.2450472,0.1460816,-15.921749985461288,-9.78919249544547,0.6148314415428158,6.132557490015818,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.17301756587403,11.484960907468082]}"
17,49,36.13176470588235,0.24810693,-0.2477153,0.1460816,-16.326413658143476,-9.661556891225366,0.591774598728623,6.66485676691811,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.19996702439762,11.484960907468082]}"
18,48,36.00647058823529,0.2444709,-0.241371,0.158364,-15.94243057932985,-9.121869080456948,0.5721755559835339,6.820561498872902,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2089501772388,11.484960907468082]}"
19,37,32.994137931034516,0.31216043,-0.29664564,0.158364,-15.208819603487544,-9.377223507590712,0.6165648454032826,5.831596095896833,6.042106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.28081539996838,11.484960907468082]}"
20,30,32.853870967741955,0.25277737,-0.28143448,0.16451898,-17.033373794981987,-10.037666867838828,0.5892941109996608,6.995706927143159,5.053007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.37963008122152,11.484960907468082]}"
21,32,32.61709677419361,0.27168575,-0.28654218,0.16451898,-15.595910238789637,-7.5668678249127765,0.4851828273602595,8.02904241387686,5.053007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.39759638690391,11.484960907468082]}"
22,31,32.6341379310345,0.28573483,-0.28250736,0.16571942,-16.539235365065885,-8.788033957235898,0.5313446337306471,7.751201407829987,5.053007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.40657953974511,11.484960907468082]}"
23,23,32.137428571428586,0.20190823,-0.18366937,0.16571942,-16.697205963559433,-9.794687585394778,0.5866063823355264,6.902518378164656,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4335289982687,11.484960907468082]}"
24,17,32.29628571428577,0.22940016,-0.23959647,0.16470243,-17.519816985195632,-10.644812816681796,0.6075869871059005,6.875004168513836,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.50539422099826,11.484960907468082]}"
25,14,32.7948484848485,0.208281,-0.19423889,0.16470243,-16.184181248283274,-9.126487517865154,0.5639140700326277,7.057693730418119,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.52336052668065,11.484960907468082]}"
26,13,32.3039393939394,0.27588463,-0.27789637,0.16470243,-15.440892464228343,-9.490487021266112,0.6146333214386775,5.95040544296223,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.55030998520424,11.484960907468082]}"
27,11,31.95216216216221,0.21672638,-0.24354878,0.16470243,-15.817907968377897,-8.824144607066552,0.5578578801132988,6.993763361311345,5.9006677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.58624259656901,11.484960907468082]}"
28,12,32.60135135135141,0.27927482,-0.2745627,0.16470243,-16.22480604878,-9.399138097459685,0.5793066536019664,6.825667951320314,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5952257494102,11.484960907468082]}"
29,6,33.48696969696971,0.24387795,-0.2673967,0.15584917,-16.513340702114014,-9.175344433612095,0.555632236936617,7.33799626850192,6.349994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67607412498096,11.484960907468082]}"
