system:index,NDVI,VH,VV,soil_moisture,.geo
0,0.13347206920471702,-15.736232897602044,-8.548541026380382,6.179348468780518,"{""type"":""Point"",""coordinates"":[74.96570292218163,20.460407210470624]}"
1,-0.04275954007665389,-27.435646841855235,-20.039191804807412,25.399999618530273,"{""type"":""Point"",""coordinates"":[73.15530406867202,17.163837349484258]}"
2,0.2508127186600204,-16.996094007579575,-9.369382212729779,4.325252056121826,"{""type"":""Point"",""coordinates"":[74.0247653716985,18.717610393800058]}"
3,0.23215033814112154,-13.947702960471693,-7.554691015032341,6.630522727966309,"{""type"":""Point"",""coordinates"":[73.48355316748331,21.38729227347104]}"
4,0.17396155166495023,-14.585713464491688,-6.792125778943682,8.094749450683594,"{""type"":""Point"",""coordinates"":[77.58683086916233,19.78188208233432]}"
5,0.17865594308251492,-18.357127990251843,-10.259748685654548,6.569668292999268,"{""type"":""Point"",""coordinates"":[77.96064990303269,17.792818792157686]}"
6,0.2035977608915387,-17.23060990449478,-9.54475395098563,6.336460113525391,"{""type"":""Point"",""coordinates"":[76.36800616118416,20.92152825581809]}"
7,0.2533469837769728,-13.467463620180256,-6.553964462435707,7.330470561981201,"{""type"":""Point"",""coordinates"":[77.43626795259037,21.47805692547729]}"
8,0.19398795780705327,-17.078869434944924,-8.884065476815223,5.93721866607666,"{""type"":""Point"",""coordinates"":[76.79805350603863,17.594921329603014]}"
9,0.16412631240471884,-16.755857420422377,-8.352158492548538,6.450812816619873,"{""type"":""Point"",""coordinates"":[76.18042235986186,21.299916677916507]}"
10,0.3040375913679081,-17.03454687620741,-9.358006659357951,6.337329387664795,"{""type"":""Point"",""coordinates"":[75.03814440674564,20.496025479427026]}"
11,0.15080276014715674,-19.56211276964244,-11.641249927607856,7.4801025390625,"{""type"":""Point"",""coordinates"":[76.51511724294761,19.805660392859497]}"
12,0.16901039590995517,-18.18336613941911,-10.194717238700104,6.759817600250244,"{""type"":""Point"",""coordinates"":[75.53493846949709,19.284357765058886]}"
13,0.17441619097042033,-17.715244224722316,-9.637032205398565,7.405848026275635,"{""type"":""Point"",""coordinates"":[77.61742106975342,20.871971767032584]}"
14,0.23548473672281237,-15.534053240823914,-8.070358544257449,6.684765815734863,"{""type"":""Point"",""coordinates"":[73.10312088880642,20.039561933350214]}"
15,0.1745922570920559,-18.064984651021735,-9.911343659964688,6.873822212219238,"{""type"":""Point"",""coordinates"":[73.6688316956193,21.465694460726954]}"
16,0.19593330622204147,-17.7560490378644,-8.995135947691889,4.53201150894165,"{""type"":""Point"",""coordinates"":[73.71864703787506,18.871093963314745]}"
17,0.18871292343606239,-17.532582204345868,-9.726964388363344,7.551267623901367,"{""type"":""Point"",""coordinates"":[77.9737764420407,21.07014058428932]}"
18,0.3430546053942825,-13.748176730174434,-6.545394112241241,6.0292181968688965,"{""type"":""Point"",""coordinates"":[73.40936123728264,20.794836520373863]}"
19,0.12131951427328914,-17.816832440480397,-10.027761048851827,5.979795455932617,"{""type"":""Point"",""coordinates"":[74.1382118727386,19.282793742444976]}"
20,0.26170935919754623,-16.7271264929676,-8.78291629890282,6.609940528869629,"{""type"":""Point"",""coordinates"":[76.72777102571513,18.47144003269725]}"
21,0.22234675403051987,-15.479839408181338,-8.107829905870812,6.678619861602783,"{""type"":""Point"",""coordinates"":[77.04234827127783,21.424702169508492]}"
22,0.239731302413144,-17.564775655349987,-9.709178448881886,7.354715824127197,"{""type"":""Point"",""coordinates"":[76.2490399475311,19.903844197714456]}"
23,0.2491566987567331,-17.42659900081293,-9.644829938284454,7.19931173324585,"{""type"":""Point"",""coordinates"":[76.74905940236907,19.54212807133094]}"
24,0.2011191792685364,-17.626616551202368,-9.134796234361424,7.417141437530518,"{""type"":""Point"",""coordinates"":[77.82598710249611,21.173296449440024]}"
25,0.2675494440200323,-15.897737067664467,-8.04931215935195,6.683689117431641,"{""type"":""Point"",""coordinates"":[75.111689914808,20.624392117952027]}"
