system:index,NDVI,VH,VV,soil_moisture,.geo
0,0.19780484282482064,-18.43113775494698,-11.139688548100017,6.271610260009766,"{""type"":""Point"",""coordinates"":[74.39566726857886,26.563743173904985]}"
1,0.22538730634682658,-17.581373773057432,-10.6479090551262,6.727376937866211,"{""type"":""Point"",""coordinates"":[74.73605486597245,25.127413777056436]}"
2,0.16217187979118095,-18.657670096492318,-12.28323284749237,6.015861988067627,"{""type"":""Point"",""coordinates"":[72.68353666971554,25.824664227785107]}"
3,0.21059324870038598,-17.623216978684088,-10.509393720751753,6.797784805297852,"{""type"":""Point"",""coordinates"":[74.73035784289662,25.387706002733683]}"
4,0.07704284679482543,-22.428228712139678,-15.342903285062976,5.1591291427612305,"{""type"":""Point"",""coordinates"":[72.87233020920915,28.680585001914853]}"
5,0.10942547519068697,-21.84555749513646,-13.726173591518961,5.005187511444092,"{""type"":""Point"",""coordinates"":[74.32828672253802,28.97606508652817]}"
6,0.12885607370178245,-19.50454652139193,-11.424795131316031,3.7498371601104736,"{""type"":""Point"",""coordinates"":[72.86391305869023,27.70405374023622]}"
7,0.11174978306647289,-23.068641899166177,-15.620950441749198,3.8958539962768555,"{""type"":""Point"",""coordinates"":[71.49167675805596,28.55508510906832]}"
8,0.11557347421103847,-23.30973756048583,-14.949749385308222,4.09694766998291,"{""type"":""Point"",""coordinates"":[71.46622545223605,28.03376922228267]}"
9,0.09544094748763628,-22.274826252339782,-14.626053562743019,4.293436527252197,"{""type"":""Point"",""coordinates"":[72.68116869409204,27.55640817767753]}"
10,0.1793301096130551,-19.069631405544357,-11.031861261063769,7.417808532714844,"{""type"":""Point"",""coordinates"":[74.30693984699951,26.623497558397112]}"
11,0.12529295907925572,-21.67688224318302,-14.58858236866671,6.08576774597168,"{""type"":""Point"",""coordinates"":[73.73310843613928,27.812005481609262]}"
12,-0.06019366657942945,-25.149090670558913,-18.05546445659529,7.555693626403809,"{""type"":""Point"",""coordinates"":[74.98414326990053,27.000369984936523]}"
13,0.0731964137846431,-23.35200424864625,-16.18153019392457,0.0,"{""type"":""Point"",""coordinates"":[71.87851585903783,28.70286657350837]}"
14,0.15547496080189552,-18.858096368489207,-12.136333812243778,5.646794319152832,"{""type"":""Point"",""coordinates"":[72.21914124053633,25.092354381250146]}"
15,0.15759177517331086,-17.290860118795937,-10.952794853589186,6.933973789215088,"{""type"":""Point"",""coordinates"":[74.51877235842413,25.54020147699956]}"
16,0.15127349135222876,-16.58816931525977,-9.517421146175447,5.612541675567627,"{""type"":""Point"",""coordinates"":[72.78460108792552,25.58186616800319]}"
17,0.17688324703524302,-18.649439257795514,-10.663083209416328,4.215362071990967,"{""type"":""Point"",""coordinates"":[71.40410604357359,28.984345830772114]}"
18,0.11540919354151577,-19.429083854855612,-13.023608795350965,5.164026737213135,"{""type"":""Point"",""coordinates"":[71.31238408730111,25.323921914665593]}"
19,0.10969170315463943,-19.219630491466326,-13.40409175486059,4.640212535858154,"{""type"":""Point"",""coordinates"":[72.09193337870114,25.909018651240686]}"
20,0.1319072996386706,-22.150734887700928,-14.21513401278917,6.091965198516846,"{""type"":""Point"",""coordinates"":[74.74256234206379,27.96635330097811]}"
21,0.10742556593675252,-22.695865976012684,-15.377160526212442,3.7311787605285645,"{""type"":""Point"",""coordinates"":[71.86554809748071,28.243201702591495]}"
22,0.1962008993148611,-20.687282950176122,-13.666232054057957,5.318464279174805,"{""type"":""Point"",""coordinates"":[73.8621088367303,27.596919853009798]}"
23,0.1871190151403489,-19.469928887842954,-12.718298765514223,4.737087249755859,"{""type"":""Point"",""coordinates"":[73.77593114964878,27.99931165301545]}"
24,0.07749602603890697,-21.77243233281728,-14.028974026316524,4.203644275665283,"{""type"":""Point"",""coordinates"":[71.43643287689669,28.866269521268503]}"
25,0.1712127808589979,-19.0586093674248,-10.383509382687564,6.993956565856934,"{""type"":""Point"",""coordinates"":[74.13523029049814,26.686122267065407]}"
26,0.12702751959176234,-19.302829541046705,-12.462030089265346,3.763558864593506,"{""type"":""Point"",""coordinates"":[71.18351133818565,26.48856294451808]}"
27,0.16401389905011135,-17.78132059065758,-10.225337323911036,5.921120643615723,"{""type"":""Point"",""coordinates"":[72.9416543474869,25.021426046559206]}"
28,0.18974164481556793,-20.13942257556965,-12.675535730675502,4.707763671875,"{""type"":""Point"",""coordinates"":[73.62954880550032,28.23342062822395]}"
29,0.13463651700174892,-16.069685327141553,-9.059694129790842,6.3094706535339355,"{""type"":""Point"",""coordinates"":[73.39117215701195,28.042873903444335]}"
30,0.16084272281786854,-17.970447325959004,-10.762168307755545,6.576234817504883,"{""type"":""Point"",""coordinates"":[74.78829344429931,26.20142780564345]}"
31,0.14534124407627153,-20.814431490931874,-12.731022576887494,4.650792598724365,"{""type"":""Point"",""coordinates"":[73.25251888808397,27.872932875932168]}"
32,0.1826395713787528,-14.862117076844022,-8.703560789920264,6.9872636795043945,"{""type"":""Point"",""coordinates"":[74.1560941615248,25.960603289648763]}"
33,0.0993806574559314,-21.586144569624285,-14.48996282809291,3.9659061431884766,"{""type"":""Point"",""coordinates"":[71.8405000971042,27.19755978547931]}"
34,0.17342876102000193,-19.18036118668353,-11.12031583943219,7.4895453453063965,"{""type"":""Point"",""coordinates"":[74.19555513934783,26.653324392069162]}"
35,0.1288001841940092,-21.82959173709375,-14.266629565664385,6.223060607910156,"{""type"":""Point"",""coordinates"":[73.2814560322506,26.322632773095375]}"
36,0.05194655343502641,-25.289789074342263,-17.244785486131136,3.9629368782043457,"{""type"":""Point"",""coordinates"":[71.13963213986928,27.758351695262192]}"
37,0.1584795321637427,-18.5819047968642,-10.88230856604454,5.958701133728027,"{""type"":""Point"",""coordinates"":[73.32570337287821,25.909592421508584]}"
38,0.22131496807674056,-17.913832398047735,-10.851305156591204,5.359979629516602,"{""type"":""Point"",""coordinates"":[72.55959221153688,26.698093829330983]}"
39,0.17160107659853058,-18.00195476594378,-11.79501030541591,7.03741455078125,"{""type"":""Point"",""coordinates"":[73.94903371180322,26.26147093712819]}"
